2020-06-16 11:37:16.130 [main] INFO  com.test.demo.config.RedisConfig - redis地址：127.0.0.1:7000
2020-06-16 11:37:16.500 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-16 11:37:16.696 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-16 11:37:16.728 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-06-16 11:37:16.736 [main] INFO  com.test.demo.DemoApplication - Started DemoApplication in 1.887 seconds (JVM running for 2.298)
2020-06-16 11:37:23.768 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-16 11:37:43.395 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 49758 (/Users/chao/IdeaProjects/ranking-list-redis-1/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-redis-1)
2020-06-16 11:37:43.397 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-06-16 11:37:43.944 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-16 11:37:43.946 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-16 11:37:43.967 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2020-06-16 11:37:44.266 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-16 11:37:44.274 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-16 11:37:44.275 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-16 11:37:44.275 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
